strongs,word,occurrences,english_meaning,telugu_meaning
H6220,עַשׁוָת,1,an Israelite,
H6221,עֲשִׂיאֵל,1,"made of God; Asiel, an Israelite",
H6229,עָשַׂק,1,i.e. quarrel,
H6230,עֵשֶׂק,1,strife; a well that Isaac named,
H6232,עֵשֶׁק,1,an Israelite,
H6234,עָשׁקָה,1,anguish,
H6243,עֶשׂרִין,1,`esriyn (es-reen') n-e. 1. twenty [(Aramaic) corresponding to H6242]  Root(s): H6242,
H6246,עֲשִׁת,1,`ashith (ash-eeth') v. 1. to purpose [(Aramaic) corresponding to H6245] KJV: think.  Root(s): H6245,
H6247,עֶשֶׁת,1,a fabric,
H6248,עַשׁתּוּת,1,cogitation,
H6250,עֶשׁתּוֹנָה,1,thinking,
H6254,עַשׁתְּרָתִי,1,an Ashterathite or inhabitant of Ashtaroth,
H6255,עַשׁתְּרוֹת קַרנַיִם,1,a place East of the Jordan,
H6261,עִתּתִּי,1,timely,
H6263,עֲתִידּ,1,`athiyd (ath-eed') adj. 1. prepared [(Aramaic) corresponding to H6264] KJV: ready.  Root(s): H6264,
H6265,עֲתָיָה,1,an Israelite,
H6266,עָתִיק,1,i.e. venerable or splendid,
H6269,עֲתָך,1,a place in Israel,
H6270,עַתלַי,1,an Israelite,
H6272,עָתַם,1,i.e. (figuratively) be desolated,
H6273,עָתנִי,1,an Israelite,
H6276,עָתֵק,1,i.e. valued,
H6278,עֵת קָצִין,1,a place in Israel,
H6283,עֲתֶרֶת,1,copiousness,
H6284,פָּאָה,1,i.e. blow away,
H6291,פַּג,1,i.e. crude],
H6300,פְּדַהאֵל,1,an Israelite,
H6308,פָּדַע,1,to retrieve,
H6314,פּוּגָה,1,intermission,
H6317,פּוּטִיאֵל,1,an Israelite,
H6323,פּוּן,1,i.e. be perplexed],
H6324,פּוּנִי,1,a Punite (collectively) or descendants of an unknown Pun,
H6326,פּוּעָה,1,an Israelitess,
H6330,פּוּקָה,1,a stumbling-block,
H6334,פּוֹרָתָא,1,a son of Haman,
H6336,פּוּתִי,1,a Puthite (collectively) or descendants of an unknown Puth,
H6338,פָּזַז,1,to refine (gold),
H6345,פַּחדָּה,1,alarm (i.e. awe),
H6350,פַּחֲזוּת,1,frivolity,
H6351,פָּחַח,1,to spread a net,
H6353,פֶּחָר,1,pechar (peh-khawr') n-m. 1. a potter [(Aramaic) from an unused root probably meaning to fashion] KJV: potter.,
H6356,פְּחֶתֶת,1,a hole (by mildew in a garment),
H6359,פָּטִיר,1,i.e. unoccupied,
H6361,פַּטִּישׁ,1,pattiysh (pat-teesh') n-m. 1. a gown (as if hammered out wide) [(Aramaic) from a root corresponding to that of H6360] KJV: hose.  Root(s): H6360,
H6364,פִּי ־ בֶּסֶת,1,a place in Egypt,
H6366,פֵּיָה פִּיָה,1,an edge,
H6371,פִּימָה,1,obesity,
H6375,פִּיק,1,a tottering,
H6376,פִּישׁוֹן,1,a river of Eden,
H6379,פָּכָה,1,to pour,
H6384,פַּלּוּאִי,1,a Palluite (collectively) or descendants of Pallu,
H6386,פְּלַג,1,plag (pel-ag') v. 1. divided [(Aramaic) corresponding to H6385]  Root(s): H6385,
H6387,פְּלַג,1,plag (pel-ag') n-m. 1. a half [(Aramaic) from H6386] KJV: dividing.  Root(s): H6386,
H6390,פְּלַגָּה,1,i.e. gully,
H6392,פְּלוּגָּה,1,pluggah (pel-oog-gaw') n-f. 1. division [(Aramaic) corresponding to H6391]  Root(s): H6391,
H6393,פְּלָדָה,1,i.e. iron armature (of a chariot),
H6394,פִּלדָּשׁ,1,a relative of Abraham,
H6401,פִּלחָא,1,an Israelite,
H6402,פָּלחָן,1,polchan (pol-khawn') n-m. 1. worship [(Aramaic) from H6399] KJV: service.  Root(s): H6399,
H6407,פַּלטִּי,1,a Paltite or descendant of Palti,
H6408,פִּלטַּי,1,an Israelite,
H6415,פְּלִילָה,1,justice,
H6416,פְּלִילִי,1,judicial,
H6417,פְּלִילִיָה,1,judicature,
H6420,פָּלָל,1,an Israelite,
H6421,פְּלַליָה,1,an Israelite,
H6422,פַּלמוֹנִי,1,i.e. so-and-so,
H6426,פָּלַץ,1,(properly) perhaps to rend; (by implication) to quiver,
H6434,פֵּן,1,an angle (of a street or wall),
H6436,פַּנַּג,1,probably pastry,
H6445,פָּנַק,1,to enervate,
H6448,פָּסַג,1,i.e. (figuratively) contemplate,
H6450,פַּס דַּמִּים,1,a place in Israel,
H6451,פִּסָּה,1,i.e. abundance,
H6457,פָּסַך,1,an Israelite,
H6461,פָּסַס,1,i.e. (intransitive) disappear,
H6462,פִּספָּה,1,an Israelite,
H6463,פָּעָה,1,to scream,
H6469,פְּעוּלְּתַי,1,an Israelite,
H6474,פַּעֲרַי,1,an Israelite,
H6477,פְּצִירָה,1,bluntness,
H6479,פְּצָלָה,1,a peeling,
H6480,פָּצַם,1,to rend (by earthquake),
H6483,פִּצֵּץ,1,a priest,
H6488,פְּקִדוּת,1,supervision,
H6495,פְּקַח ־ קוַֹח,1,"i.e. jail-delivery (figuratively, salvation for sin)",
H6498,פַּקּוּעָה,1,the wild cucumber (from splitting open to shed its seeds),
H6500,פָּרָא,1,to bear fruit,
H6502,פִּראָם,1,a Canaanite,
H6507,פְּרוּדָה,1,i.e. a kernel,
H6511,פָּרָה,1,a place in Israel,
H6512,פֵּרָה,1,i.e. dug),
H6515,פָּרוַּח,1,an Israelite,
H6516,פַּרוַיִם,1,an Oriental region,
H6526,פִּרחַח,1,i.e. a brood,
H6527,פָּרַט,1,i.e. prate (or hum),
H6528,פֶּרֶט,1,a stray or single berry,
H6534,פַּרמַשׁתָּא,1,a son of Haman,
H6535,פַּרנַך,1,an Israelite,
H6542,פַּרסִי,1,or inhabitant of Peres,
H6543,פַּרסִי,1,Parciy (par-see') adj. 1. Persian [(Aramaic) corresponding to H6542]  Root(s): H6542,
H6552,פִּרעָתוֹן,1,a place in Israel,
H6554,פַּרפַּר,1,a river of Syria,
H6558,פַּרצִּי,1,a Partsite (collectively) or descendants of Perets,
H6559,פְּרָצִים,1,a mountain in Israel,
H6562,פְּרַק,1,praq (per-ak') v. 1. to discontinue [(Aramaic) corresponding to H6561] KJV: break off.  Root(s): H6561,
H6564,פָּרָק,1,soup (as full of crumbed meat),
H6568,פְּרַשׁ,1,prash (per-ash') v. 1. to specify [(Aramaic) corresponding to H6567] KJV: distinctly.  Root(s): H6567,
H6570,פֶּרֶשׁ,1,an Israelite,
H6574,פַּרשְׁדוֹן,1,H6504,
H6576,פַּרשֵׁז,1,to expand,
H6577,פַּרשַׁנדָּתָא,1,a son of Haman,
H6580,פַּשׁ,1,stupidity (as a result of grossness or of degeneracy),
H6582,פָּשַׁח,1,to tear in pieces,
H6585,פָּשַׂע,1,i.e. rush upon,
H6587,פֶּשַׂע,1,a stride,
H6592,פֵּשֶׁר,1,interpretation,
H6602,פְּתוּאֵל,1,an Israelite,
H6608,פֵּתַח,1,opening (figuratively) i.e. disclosure,
H6609,פְּתִחָה,1,i.e. a drawn sword,
H6614,פְּתִיגִּיל,1,probably a figured mantle for holidays,
H6615,פְּתַיוּת,1,silliness (i.e. seducibility),
H6618,פְּתַלתּוֹל,1,tortuous (i.e. crafty),
H6619,פִּתוֹם,1,a place in Egypt,
H6626,פָּתַת,1,i.e. break,
H6630,צַּאֲנָן,1,a place in Israel,
H6637,צּוֹבֵבָה,1,an Israelitess,
H6640,צְּבוּ,1,tsbuw (tseb-oo') n-m. 1. (properly) will 2. (concretely) an affair (as a matter of determination) [(Aramaic) from H6634] KJV: purpose.  Root(s): H6634,
H6641,צָּבוַּע,1,i.e. the hyena,
H6642,צָּבַט,1,i.e. hand out,
H6644,צִּביָא,1,an Israelite,
H6650,צְּבוֹעִים,1,a place in Israel,
H6652,צִּבּוּר,1,a pile,
H6653,צֶּבֶת,1,a lock of stalks,
H6656,צְּדָא,1,tsda' (tsed-aw') adj. 1. a (sinister) design [(Aramaic) from an unused root corresponding to H6658 in the sense of intentness] KJV: true.  Root(s): H6658,
H6661,צִּדִּים,1,a place in Israel,
H6665,צִּדקָה,1,tsidqah (tsid-kaw') n-f. 1. beneficence [(Aramaic) corresponding to H6666] KJV: righteousness.  Root(s): H6666,
H6668,צָּהַב,1,i.e. be golden in color,
H6671,צָּהַר,1,to press out oil,
H6681,צָּוַח,1,to screech (exultingly),
H6683,צּוּלָה,1,deep,
H6700,צּוּרִיאֵל,1,an Israelite,
H6702,צּוּת,1,to blaze,
H6704,צִּחֶה,1,parched,
H6705,צָּחַח,1,i.e. be dazzling white,
H6707,צְּחִיחָה,1,i.e. the desert,
H6708,צְּחִיחִי,1,i.e. in the glaring sun,
H6709,צַּחֲנָה,1,stench,
H6710,צַּחצָּחָה,1,i.e. desert,
H6713,צַּחַר,1,i.e. whiteness,
H6715,צָּחוֹר,1,white,
H6719,צַּיָד,1,a huntsman,
H6729,צִּינוֹק,1,the pillory,
H6730,צִּיעוֹר,1,a place in Israel,
H6732,צִּיצּ,1,a place in Israel,
H6733,צִּיצָּה,1,a flower,
H6737,צָּיַר,1,i.e. betake oneself,
H6742,צְּלוּל,1,a (round or flattened) cake,
H6745,צֵּלָחָה,1,i.e. a platter,
H6746,צְּלוֹחִיתּ,1,i.e. a vial or salt-cellar,
H6747,צַּלַּחַת,1,(figuratively) the bosom,
H6749,צָּלַל,1,i.e. settle by a waving motion,
H6753,צְּלֶלפּוֹנִי,1,an Israelitess,
H6764,צָּלָף,1,an Israelite,
H6766,צֶּלצַּח,1,a place in Israel,
H6773,צִּמאָה,1,of libidinousnes),
H6784,צָּמַק,1,to dry up,
H6798,צָּנַם,1,to blast or shrink,
H6799,צְּנָן,1,a place near Israel,
H6802,צְּנֵפָה,1,a ball,
H6803,צִּנצֶּנֶת,1,a vase (probably a vial tapering at the top),
H6804,צַּנתָּרָה,1,a tube,
H6811,צָּעִיר,1,a place in Idumaea,
H6812,צְּעִירָה,1,i.e. juvenility,
H6813,צָּעַן,1,i.e. to migrate,
H6816,צַּעצּוַּע,1,sculpture,
H6821,צָּפַד,1,to adhere,
H6824,צָּפָה,1,an inundation (as covering),
H6827,צְּפוֹן,1,an Israelite,
H6829,צָּפוֹן,1,a place in Israel,
H6830,צְּפוֹנִי,1,northern,
H6831,צְּפוֹנִי,1,or (collectively) descendants of Tsephon,
H6836,צְּפִיָה,1,watchfulness,
H6837,צִּפיוֹן,1,an Israelite,
H6838,צַּפִּיחִת,1,a flat thin cake,
H6839,צּוֹפִים,1,a place East of the Jordan,
H6840,צָּפִין,1,a treasure (as hidden),
H6841,צְּפִיר,1,tsphiyr (tsef-eer') n-m. 1. a he-goat [(Aramaic) corresponding to H6842] KJV: he (goat).  Root(s): H6842,
H6844,צָּפִיתּ,1,a sentry,
H6847,צָּפנַת פַּענֵַח,1,Joseph's Egyptian name,
H6849,צְּפִעָה,1,an outcast thing,
H6851,צַּפצָּפָה,1,a willow (as growing in overflowed places),
H6852,צָּפַר,1,i.e. return,
H6857,צְּפַת,1,a place in Israel,
H6858,צֶּפֶת,1,a capital of a column,
H6859,צְּפָתָה,1,a place in Israel,
H6861,צִּקלוֹן,1,a sack (as tied at the mouth),
H6863,צֵּר,1,a place in Israel,
H6866,צָּרַב,1,to burn,
H6871,צְּרוּעָה,1,an Israelitess,
H6874,צְּרִי,1,an Israelite,
H6878,צּוֹרֶך,1,need,
H6885,צּוֹרְפִי,1,an Israelite,
H6888,צְּרֵרָה,1,Tsererah for Tseredah,
H6889,צֶּרֶת,1,an Israelite,
H6890,צֶּרֶת הַשַּׁחַר,1,a place in Israel,
H6894,קַב,1,i.e. vessel used as a (dry) measure,
H6896,קֵבָה,1,the paunch (as a cavity) or first stomach of ruminants,
H6897,קוֹבָה,1,the abdomen (as a cavity),
H6898,קוּבָּה,1,a pavilion (as a domed cavity),
H6899,קִבּוּץ,1,a throng,
H6905,קָבָל,1,i.e. (adverbially) in front of,
H6910,קְבוּצָה,1,a hoard,
H6911,קִבצַּיִם,1,a place in Israel,
H6917,קָדוּם,1,a pristine hero,
H6930,קַדמוֹן,1,eastern,
H6935,קַדמוֹנִי,1,"Kadmonite (collectively), the name of a tribe in Israel",
H6940,קַדרוּת,1,duskiness,
H6941,קְדוֹרַנִּיתּ,1,in mourning weeds,
H6968,קוֹמְמִיוּת,1,elevation; (adverbially) standing uprightly; (figuratively) upright,
H6970,קוַֹע,1,a region of Babylon,
H6972,קוּץ,1,to clip off; used only as denominative from H7019],
H6983,קוֹשׁ,1,to set a trap,
H6984,קוּשָׁיָהוּ,1,an Israelite,
H6985,קַט,1,i.e. (adverbially) merely,
H6987,קוֹטֶב,1,extermination,
H6988,קְטוֹרָה,1,perfume,
H6990,קָטַט,1,i.e. (figuratively) destroy,
H6993,קֶטֶל,1,a violent death,
H6997,קָטָן,1,an Israelite,
H7000,קָטַר,1,to inclose,
H7002,קִטֵּר,1,perfume,
H7003,קִטרוֹן,1,a place in Israel,
H7005,קַטָּת,1,a place in Israel,
H7006,קָיָה,1,to vomit,
H7007,קַיִט,1,qayit (kah'-yit) n-m. 1. harvest [(Aramaic) corresponding to H7019] KJV: summer.  Root(s): H7019,
H7009,קִים,1,i.e. (collectively) enemies,
H7012,קִימָה,1,an arising,
H7013,קַיִן,1,a lance (as striking fast),
H7016,קִינָה,1,a place in Israel,
H7022,קִיקָלוֹן,1,intense disgrace,
H7029,קִישִׁי,1,an Israelite,
H7035,קָלַהּ,1,to assemble,
H7038,קָלַט,1,to maim,
H7040,קַלַּי,1,an Israelite,
H7041,קֵלָיָה,1,an Israelite,
H7048,קַלָּסָה,1,ridicule,
H7051,קַלָּע,1,a slinger,
H7052,קְלוֹקֵל,1,insubstantial,
H7053,קִלְּשׁוֹן,1,i.e. hay-fork,
H7056,קָמוֹן,1,a place East of the Jordan,
H7063,קִמָּשׁוֹן,1,a prickly plant,
H7066,קְנָא,1,qna' (ken-aw') v. 1. to purchase [(Aramaic) corresponding to H7069] KJV: buy.  Root(s): H7069,
H7078,קֶנֶץ,1,perversion,
H7082,קָסַס,1,to lop off,
H7085,קַעֲקַע,1,an incision or gash,
H7088,קָפַד,1,i.e. roll together,
H7089,קְפָדָה,1,"i.e., terror",
H7091,קִפּוֹז,1,i.e. spring forward],
H7102,קְצִיעָה,1,cassia (as peeled; plural the bark),
H7103,קְצִיעָה,1,a daughter of Job,
H7104,קְצִיצּ,1,a valley in Israel,
H7108,קְצַף,1,qtsaph (kets-af') v. 1. to become enraged [(Aramaic) corresponding to H7107] KJV: be furious.  Root(s): H7107,
H7109,קְצַף,1,qtsaph (kets-af') n-m. 1. rage [(Aramaic) from H7108] KJV: wrath.  Root(s): H7108,
H7111,קְצָפָה,1,a fragment,
H7113,קְצַץ,1,qtsats (kets-ats') v. 1. cut off [(Aramaic) corresponding to H7112]  Root(s): H7112,
H7115,קוֹצֶר,1,i.e. impatience,
H7120,קוֹר,1,cold,
H7129,קְרָב,1,qrab (ker-awb') n-m. 1. war [(Aramaic) corresponding to H7128]  Root(s): H7128,
H7137,קָרֶה,1,i.e. some accidental (ceremonial) disqualification,
H7150,קְרִיאָה,1,a proclamation,
H7155,קִריַת חוּצוֹת,1,a place in Moab,
H7163,קֶרֶן הַפּוּך,1,one of Job's daughters,
H7171,קֶרֶץ,1,extirpation (as if by constriction),
H7173,קַרקַע,1,a place in Israel,
H7174,קַרקוֹר,1,a place East of the Jordan,
H7177,קַרתָּה,1,a place in Israel,
H7178,קַרתָּן,1,a place in Israel,
H7180,קִשּׁוּא,1,a cucumber (from the difficulty of digestion),
H7190,קְשִׁי,1,obstinacy,
H7199,קַשָּׁת,1,a bowman,
H7201,רָאָה,1,from its sharp sight),
H7202,רָאֶה,1,i.e. experiencing,
H7204,רוֹאֵה,1,an Israelite,
H7207,רַאֲוָה,1,i.e. satisfaction,
H7208,רְאוּמָה,1,a Syrian woman,
H7209,רְאִי,1,a mirror (as seen),
H7212,רְאִיתּ,1,sight,
H7213,רָאַם,1,to rise,
H7220,רוֹאשׁ,1,the name of an Israelite and of a foreign nation,
H7221,רִאשָׁה,1,a beginning,
H7222,רוֹאשָׁה,1,the head,
H7224,רִאשׁוֹנִי,1,first,
H7226,רַאֲשׁוֹת,1,a pillow (being for the head),
H7234,רָבַד,1,to spread,
H7245,רַבִּיתּ,1,a place in Israel,
H7252,רֶבַע,1,prostration (for sleep),
H7265,רְגַז,1,rgaz (reg-az') v. 1. provoke unto wrath [(Aramaic) corresponding to H7264]  Root(s): H7264,
H7266,רְגַז,1,rgaz (reg-az') n-m. 1. violent anger [(Aramaic) from H7265] KJV: rage.  Root(s): H7265,
H7268,רַגָּז,1,timid,
H7269,רָגזָה,1,trepidation,
H7276,רֶגֶם,1,an Israelite,
H7277,רִגמָה,1,i.e. (figuratively) a throng,
H7278,רֶגֶם מֶלֶך,1,an Israelite,
H7282,רָגֵַע,1,i.e. peaceable,
H7283,רָגַשׁ,1,to be tumultuous,
H7288,רַדַּי,1,an Israelite,
H7295,רָהָב,1,insolent,
H7296,רוֹהָב,1,pride,
H7297,רָהָה,1,to fear,
H7303,רוֹהֲגָה,1,an Israelite,
H7315,רוֹם,1,i.e. (adverbially) aloft,
H7316,רוּמָה,1,a place in Israel,
H7317,רוֹמָה,1,i.e. (adverbially) proudly,
H7318,רוֹמָם,1,i.e. (figuratively and specifically) praise,
H7319,רוֹמְמָה,1,i.e. praise,
H7322,רוּף,1,i.e. (figuratively) to agitate (by concussion),
H7325,רוּר,1,i.e. (by analogy) to emit a fluid (ulcerous or natural),
H7331,רְזוֹן,1,a Syrian,
H7333,רָזוֹן,1,a dignitary,
H7335,רָזַם,1,to twinkle the eye (in mockery),
H7351,רְחִיטּ,1,a panel (as resembling a trough),
H7352,רַחִיק,1,rachiyq (rakh-eek') adj. 1. far [(Aramaic) corresponding to H7350]  Root(s): H7350,
H7357,רַחַם,1,an Israelite,
H7359,רְחֵם,1,rchem (rekh-ame') n-m. 1. (plural) pity [(Aramaic) corresponding to H7356] KJV: mercy.  Root(s): H7356,
H7361,רַחֲמָה,1,a maiden,
H7362,רַחמָנִי,1,compassionate,
H7365,רְחַץ,1,rchats (rekh-ats') v. 1. to attend upon [(Aramaic) corresponding to H7364 (probably through the accessory idea of ministering as a servant at the bath)] KJV: trust.  Root(s): H7364,
H7369,רָחֵק,1,remote,
H7370,רָחַשׁ,1,to gush,
H7371,רַחַת,1,a winnowing-fork (as blowing the chaff away),
H7372,רָטַב,1,to be moist,
H7373,רָטוֹב,1,moist (with sap),
H7374,רֶטֶט,1,terror,
H7375,רוּטֲפַשׁ,1,H2954,
H7377,רִי,1,i.e. a shower,
H7382,רֵיַח,1,reyach (ray'-akh) n-f. 1. smell [(Aramaic) corresponding to H7381]  Root(s): H7381,
H7391,רוֹך,1,softness (figuratively),
H7396,רִכבָּה,1,a chariot (collectively),
H7398,רְכוּב,1,a vehicle (as ridden on),
H7403,רָכָל,1,a place in Israel,
H7406,רֶכֶס,1,a mountain ridge (as of tied summits),
H7407,רוֹכֶס,1,a snare (as of tied meshes),
H7419,רָמוּת,1,a heap (of carcasses),
H7421,רַמִּי,1,i.e. Aramaean,
H7422,רַמיָה,1,an Israelite,
H7424,רַמָּך,1,a brood mare,
H7427,רוֹמֵמוּת,1,exaltation,
H7432,רֶמֶת,1,a place in Israel,
H7435,רָמָתִי,1,a Ramathite or inhabitant of Ramah,
H7437,רָמַת לֶחִי,1,a place in Israel,
H7438,רוֹן,1,a shout (of deliverance),
H7439,רָנָה,1,to whiz,
H7441,רִנָּה,1,an Israelite,
H7443,רֶנֶן,1,an ostrich (from its wail),
H7449,רֶסֶן,1,a place in Assyrian,
H7450,רָסַס,1,to moisten (with drops),
H7465,רוֹעָה,1,utterly.,
H7471,רְעִי,1,pasture,
H7472,רֵעִי,1,an Israelite,
H7477,רָעַל,1,i.e. (figuratively) to brandish,
H7478,רַעַל,1,a reeling (from intoxication),
H7479,רַעֲלָה,1,a long veil (as fluttering),
H7480,רְעֵלָיָה,1,an Israelite,
H7483,רַעמָה,1,the mane of a horse (as quivering in the wind),
H7485,רַעַמיָה,1,an Israelite,
H7487,רַעמְסֵס רַעַמסֵס,1,a place in Egypt,
H7500,רִפאוּת,1,a cure,
H7501,רְפָאֵל,1,an Israelite,
H7505,רָפוּא,1,an Israelite,
H7506,רֶפַח,1,an Israelite,
H7507,רְפִידָּה,1,a railing (as spread along),
H7510,רִפיוֹן,1,slackness,
H7513,רַפסוֹדָה,1,a raft (as flat on the water),
H7514,רָפַק,1,to recline,
H7516,רֶפֶשׁ,1,mud (as roiled),
H7517,רֶפֶת,1,a stall for cattle (from their resting there),
H7518,רַץ,1,a fragment,
H7519,רָצָא,1,run.,
H7520,רָצַד,1,i.e. (figuratively) be jealous,
H7525,רִציָא,1,an Israelite,
H7527,רָצַע,1,to pierce,
H7528,רָצַף,1,i.e. embroider (as if with bright stones),
H7529,רֶצֶף,1,a red-hot stone (for baking),
H7539,רִקָּבוֹן,1,decay (by caries),
H7542,רַקּוֹן,1,a place in Israel,
H7544,רֶקַח,1,(properly) perfumery; (by implication) spicery (for flavor),
H7546,רַקָּח,1,a male perfumer,
H7547,רַקּוַּח,1,a scented substance,
H7548,רַקָּחָה,1,a female perfumer,
H7555,רִקּוַּע,1,i.e. a (metallic) plate,
H7556,רָקַק,1,to spit,
H7557,רַקַּת,1,a place in Israel,
H7558,רִשׁיוֹן,1,a permit,
H7559,רָשַׁם,1,to record,
H7566,רֶשֶׁף,1,an Israelite,
H7569,רַתּתּוֹק,1,a chain,
H7571,רֶתַח,1,a boiling,
H7573,רָתַם,1,to yoke up (to the pole of a vehicle),
H7577,רְתוּקָה,1,i.e. a chain,
H7578,רְתֵת,1,terror,
H7583,שָׁאָה,1,i.e. (intransitively) be astonished,
H7584,שַׁאֲוָה,1,a tempest (as rushing),
H7587,שָׁאוּלִי,1,a Shaulite or descendant of Shaul,
H7591,שְׁאִיָה,1,desolation,
H7594,שְׁאָל,1,an Israelite,
H7595,שְׁאֵלָא,1,"sh'ela' (sheh-ay-law') n-f. 1. (properly) a question (at law), i.e. judicial decision or mandate [(Aramaic) from H7593] KJV: demand.  Root(s): H7593",
